year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1980,48-49,94324,115606,2559778,2577525,17493,15.195,16532,14.36,384986,129392,255594,5.02,14.936,420308,111464,308844,4.324,16.307,-35322,-1.37,29.873,12615,12685,61065
1980,51,42734,67337,2346639,2308110,8436,12.761,5973,9.036,488701,83302,405399,3.609,21.173,411990,67563,344427,2.927,17.85,76711,3.324,35.699,3805,3893,31450
1980,52,154837,251608,4655164,4559588,23250,9.336,18092,7.265,633224,183687,449537,4.029,13.888,442626,131879,310747,2.892,9.708,190598,4.18,19.415,10494,10579,47016
1980,53,179151,189388,1120209,1122128,28738,15.183,28528,15.072,267240,110586,156654,9.855,23.815,270232,115561,154671,10.298,24.082,-2992,-0.267,47.631,22579,22643,77203
1980,54,265609,282085,2592982,2531077,44618,16.199,31325,11.373,500207,185214,314993,7.318,19.763,375966,139195,236771,5.499,14.854,124241,4.909,29.708,22996,23131,89100
1980,55,20563,38894,2650242,2609655,3972,10.361,2854,7.445,416670,121062,295608,4.639,15.966,333536,97521,236015,3.737,12.781,83134,3.186,25.562,564,588,6558
1980,56,127075,141684,2320169,2272970,27914,20.339,19028,13.865,556231,202677,353554,8.917,24.472,462244,132920,329324,5.848,20.337,93987,4.135,40.673,14529,14594,79920
1980,61,31580,33613,1377279,1353048,3743,11.2,3356,10.042,157829,22498,135331,1.663,11.665,110001,22230,87771,1.643,8.13,47828,3.535,16.26,2619,2638,15507
1980,62,344365,374771,6408190,6290359,39639,10.81,23474,6.402,791176,252588,538588,4.015,12.578,554555,179850,374705,2.859,8.816,236621,3.762,17.632,16990,17173,116031
1980,71,46486,48804,723803,716423,7885,16.463,6066,12.665,144602,49811,94791,6.953,20.184,129916,39976,89940,5.58,18.134,14686,2.05,36.268,4542,4560,26684
1980,72,292012,354499,5648123,5597397,55580,15.734,53086,15.028,1306826,695986,610840,12.434,23.347,1208240,482163,726077,8.614,21.586,98586,1.761,43.171,38627,39207,309463
1980,81,447810,483815,3347217,3343952,55311,11.488,50620,10.514,585709,205105,380604,6.134,17.515,579292,176482,402810,5.278,17.324,6417,0.192,34.647,37683,37972,124741
1981,11,19192,19774,179278,182847,2759,13.703,3480,17.284,41022,14328,26694,7.836,22.435,48140,18894,29246,10.333,26.328,-7118,-3.893,44.87,2479,2482,11494
1981,21,23872,29961,959401,908664,6145,21.609,3098,10.894,234691,81194,153497,8.936,25.828,132613,49337,83276,5.43,14.594,102078,11.234,29.189,2059,2077,24809
1981,22,5976,12306,720644,709722,628,5.136,473,3.868,45188,10404,34784,1.466,6.367,23542,7030,16512,0.991,3.317,21646,3.05,6.634,264,265,1228
1981,23,420840,426422,4270837,4345725,62200,14.273,80938,18.573,1045631,311186,734445,7.161,24.061,1192142,341997,850145,7.87,27.433,-146511,-3.371,48.122,60973,61008,257319
1981,31-33,273496,322331,18178509,18446644,35495,11.156,27162,8.537,1893130,644884,1248246,3.496,10.263,2429193,610225,1818968,3.308,13.169,-536063,-2.906,20.525,19653,19807,232032
1981,42,259543,333693,4212035,4169261,38446,11.67,29939,9.088,705917,278971,426946,6.691,16.931,620267,209028,411239,5.014,14.877,85650,2.054,29.754,20373,20828,108336
1981,44-45,742869,1028448,10229604,10254169,116267,11.332,111452,10.862,1616928,734762,882166,7.165,15.768,1664237,551255,1112982,5.376,16.23,-47309,-0.461,31.537,78014,80730,330129
1981,48-49,93741,115915,2503435,2535388,16715,14.445,16320,14.103,351050,128723,222327,5.077,13.846,414608,115561,299047,4.558,16.353,-63558,-2.507,27.692,12418,12470,64455
1981,51,45420,70296,2447187,2397779,9411,13.677,6432,9.348,493613,96041,397572,4.005,20.586,400925,70259,330666,2.93,16.721,92688,3.866,33.441,4133,4209,33417
1981,52,156615,256794,4907411,4774422,24826,9.767,19598,7.71,757850,229956,527894,4.816,15.873,493756,174549,319207,3.656,10.342,264094,5.531,20.683,11325,11431,66262
1981,53,176339,187202,1142546,1128379,26857,14.279,28636,15.225,267220,119033,148187,10.549,23.682,239054,101083,137971,8.958,21.186,28166,2.496,42.371,22605,22728,71343
1981,54,277998,295792,2763673,2677669,47714,16.522,33719,11.676,559877,218318,341559,8.153,20.909,386953,140485,246468,5.247,14.451,172924,6.458,28.902,25296,25469,92673
1981,55,21451,41344,2767493,2711797,4934,12.263,2718,6.755,458141,158495,299646,5.845,16.894,345954,67668,278286,2.495,12.757,112187,4.137,25.515,577,588,5983
1981,56,134651,150379,2356996,2335550,29117,19.936,20458,14.008,551992,216959,335033,9.289,23.634,509069,147459,361610,6.314,21.797,42923,1.838,43.593,15659,15774,89132
1981,61,31919,34041,1446080,1414375,3738,11.034,3412,10.071,166337,25387,140950,1.795,11.76,102405,22062,80343,1.56,7.24,63932,4.52,14.481,2645,2669,14439
1981,62,360707,393463,6794283,6611173,43241,11.26,24376,6.347,920062,329213,590849,4.98,13.917,549658,180188,369470,2.726,8.314,370404,5.603,16.628,18040,18221,122919
1981,71,47921,50346,750750,738604,7809,15.761,6208,12.53,152352,60669,91683,8.214,20.627,127592,37210,90382,5.038,17.275,24760,3.352,34.55,4599,4620,25174
1981,72,292440,357869,5759126,5702814,55551,15.6,52016,14.607,1255695,696491,559204,12.213,22.019,1142921,460561,682360,8.076,20.041,112774,1.978,40.083,38422,39168,313979
1981,81,448192,485240,3399426,3372397,54266,11.202,52641,10.867,616425,224629,391796,6.661,18.279,563755,187458,376297,5.559,16.717,52670,1.562,33.433,38699,39137,133351
1982,11,17955,18604,170380,172969,2609,13.715,3447,18.12,42922,16166,26756,9.346,24.815,47960,16510,31450,9.545,27.728,-5038,-2.913,49.63,2402,2406,11376
1982,21,26322,32756,1017119,988151,6762,21.536,4047,12.889,258912,93876,165036,9.5,26.202,201762,72063,129699,7.293,20.418,57150,5.784,40.836,2744,2768,32333
1982,22,5888,12268,744259,732938,463,3.778,435,3.55,46711,7549,39162,1.03,6.373,24392,4938,19454,0.674,3.328,22319,3.045,6.656,281,281,1693
1982,23,389002,395100,3889477,4055989,54273,13.25,83288,20.334,923600,264286,659314,6.516,22.771,1257423,370891,886532,9.144,31.002,-333823,-8.23,45.543,58279,58312,267773
1982,31-33,274558,323501,17337680,17791609,30709,9.49,30887,9.545,1678645,454670,1223975,2.556,9.435,2586104,605821,1980283,3.405,14.536,-907459,-5.1,18.87,22419,22589,254323
1982,42,263494,338518,4217377,4223349,37978,11.26,35488,10.522,732875,250883,481992,5.94,17.353,746149,251388,494761,5.952,17.667,-13274,-0.314,34.706,23185,23603,128096
1982,44-45,726176,1023810,10132933,10181681,119460,11.644,123740,12.061,1699721,715238,984483,7.025,16.694,1795798,630585,1165213,6.193,17.638,-96077,-0.944,33.388,85182,87810,362349
1982,48-49,92294,115392,2440657,2474231,16396,14.198,16571,14.35,347869,115032,232837,4.649,14.06,414744,109391,305353,4.421,16.763,-66875,-2.703,28.119,12456,12547,67230
1982,51,46593,72090,2469980,2464784,9294,13.087,7146,10.063,322427,97881,224546,3.971,13.081,313345,66528,246817,2.699,12.713,9082,0.368,25.426,4948,5030,38446
1982,52,156538,256713,4764367,4721795,22255,8.677,21795,8.498,612196,176253,435943,3.733,12.965,524724,160379,364345,3.397,11.113,87472,1.853,22.226,12760,12882,69778
1982,53,169392,181049,1128638,1137437,24723,13.455,30122,16.393,250136,103697,146439,9.117,21.991,266776,110069,156707,9.677,23.454,-16640,-1.463,43.982,23707,23780,80057
1982,54,279585,298337,2661335,2623512,48640,16.566,39205,13.352,573685,228843,344842,8.723,21.867,500535,188760,311775,7.195,19.079,73150,2.788,38.158,29565,29718,121661
1982,55,22121,42815,2807789,2793793,4661,11.062,3305,7.843,522813,183515,339298,6.569,18.713,491867,116264,375603,4.162,17.606,30946,1.108,35.211,639,652,8434
1982,56,146248,164162,2569358,2536305,30481,19.021,22657,14.139,605389,208961,396428,8.239,23.869,540165,166212,373953,6.553,21.297,65224,2.572,42.595,17212,17283,99918
1982,61,31637,34095,1489925,1480217,3669,10.771,3605,10.583,155792,27181,128611,1.836,10.525,136235,23090,113145,1.56,9.204,19557,1.321,18.407,2762,2774,15199
1982,62,375030,410879,7082286,6962412,44410,11.013,29160,7.231,919516,312205,607311,4.484,13.207,679169,209121,470048,3.004,9.755,240347,3.452,19.51,22128,22367,148817
1982,71,49087,52029,759068,746272,8909,17.413,7176,14.026,163591,59785,103806,8.011,21.921,137935,44553,93382,5.97,18.483,25656,3.438,36.966,5454,5479,33950
1982,72,288213,356824,5842559,5803954,53996,15.11,55051,15.405,1345538,684267,661271,11.79,23.183,1265017,520893,744124,8.975,21.796,80521,1.387,43.592,41547,42211,348129
1982,81,450013,488117,3448652,3439267,55543,11.394,54246,11.128,643406,224476,418930,6.527,18.708,621433,189997,431436,5.524,18.069,21973,0.639,36.138,39649,39944,132386
1983,11,18160,18783,168710,170220,2917,15.558,2849,15.195,42349,15247,27102,8.957,24.879,45366,15980,29386,9.388,26.651,-3017,-1.772,49.758,2038,2044,10544
1983,21,25422,31641,788577,905126,4308,13.338,5622,17.407,119278,49929,69349,5.516,13.178,353040,88597,264443,9.788,39.005,-233762,-25.826,26.356,3900,3926,42134
1983,22,5689,12116,750078,745016,592,4.911,467,3.874,51971,15019,36952,2.016,6.976,41694,6165,35529,0.827,5.596,10277,1.379,11.193,237,240,1128
1983,23,391721,397737,3794829,3869449,63649,16.033,62130,15.651,964221,297154,667067,7.679,24.919,1114041,290627,823414,7.511,28.791,-149820,-3.872,49.838,43872,43918,205318
1983,31-33,275135,323188,16192358,16788993,30196,9.337,30645,9.476,1567332,398404,1168928,2.373,9.335,2761195,609952,2151243,3.633,16.446,-1193863,-7.111,18.671,22056,22240,251510
1983,42,266013,340235,4087166,4152431,37680,11.11,35539,10.478,636511,221673,414838,5.338,15.329,766688,246138,520550,5.928,18.464,-130177,-3.135,30.657,23392,23899,129799
1983,44-45,730849,1029806,10119425,10134477,120180,11.699,115157,11.21,1674713,709461,965252,7,16.525,1707057,654445,1052612,6.458,16.844,-32344,-0.319,33.05,75648,78458,329120
1983,48-49,93134,116082,2370385,2405246,17120,14.787,16516,14.265,365451,127073,238378,5.283,15.194,434058,131718,302340,5.476,18.046,-68607,-2.852,30.388,11498,11618,63896
1983,51,47821,71603,2467170,2488311,9833,13.68,10382,14.444,709874,115685,S,4.649,28.528,764505,311714,452791,12.527,30.724,-54631,-2.196,57.057,4864,4970,37814
1983,52,165094,267533,4976466,4816424,33900,12.964,21840,8.352,908188,319137,589051,6.626,18.856,588335,205168,383167,4.26,12.215,319853,6.641,24.43,12360,12546,99699
1983,53,170458,182428,1144460,1138951,26909,14.798,25738,14.154,262315,115313,147002,10.124,23.031,252146,107448,144698,9.434,22.138,10169,0.893,44.277,19515,19603,72234
1983,54,314570,335289,2942676,2909903,57799,17.807,36400,11.214,570191,238896,331295,8.21,19.595,505729,166647,339082,5.727,17.38,64462,2.215,34.759,26361,26621,106584
1983,55,22691,42594,2752976,2781595,4199,9.834,4411,10.33,446517,135914,310603,4.886,16.053,503346,121447,381899,4.366,18.096,-56829,-2.043,32.105,641,657,7413
1983,56,141311,158023,2416506,2404577,30168,19.507,23420,15.144,577358,200308,377050,8.33,24.011,552085,181855,370230,7.563,22.96,25273,1.051,45.92,17548,17653,111243
1983,61,32663,34979,1502612,1475527,4260,12.368,3189,9.259,158682,32736,125946,2.219,10.754,104388,20032,84356,1.358,7.075,54294,3.68,14.149,2385,2427,13467
1983,62,391772,430570,7374387,7224527,46595,11.073,27015,6.42,970971,394444,576527,5.46,13.44,671594,202502,469092,2.803,9.296,299377,4.144,18.592,19599,19939,128906
1983,71,52583,55574,763993,760202,10266,19.004,7159,13.252,156571,64102,92469,8.432,20.596,148866,47455,101411,6.242,19.582,7705,1.014,39.165,5308,5339,33018
1983,72,297814,368467,5986573,5914732,61931,17.076,50345,13.882,1364449,734879,629570,12.425,23.069,1218312,505250,713062,8.542,20.598,146137,2.471,41.196,36664,37346,319175
1983,81,456767,496251,3441838,3415473,62108,12.665,50414,10.28,625110,233848,391262,6.847,18.302,573630,195226,378404,5.716,16.795,51480,1.507,33.59,36078,36561,133626
1984,11,18948,19524,178717,173790,3259,17.007,2537,13.239,48058,17190,30868,9.891,27.653,38376,12468,25908,7.174,22.082,9682,5.571,44.164,1827,1832,9080
1984,21,25323,31670,801076,791727,4429,13.982,4443,14.026,174460,44169,130291,5.579,22.035,157374,50767,106607,6.412,19.877,17086,2.158,39.755,3186,3216,27179
1984,22,5744,12241,756087,751939,723,5.974,444,3.669,42652,11898,30754,1.582,5.672,34305,5145,29160,0.684,4.562,8347,1.11,9.124,241,241,1135
1984,23,422326,428438,4288775,4046899,81363,19.656,52372,12.652,1357009,387901,969108,9.585,33.532,875304,251676,623628,6.219,21.629,481705,11.903,43.258,38707,38742,187554
1984,31-33,281394,329246,17345185,16789825,34222,10.491,28152,8.63,2603182,527798,2075384,3.144,15.505,1493869,515898,977971,3.073,8.897,1109313,6.607,17.795,20860,21020,210386
1984,42,271773,346817,4352817,4224547,39552,11.51,33179,9.655,811308,250650,560658,5.933,19.205,554030,207826,346204,4.919,13.115,257278,6.09,26.229,22793,23272,117268
1984,44-45,741584,1046023,10742702,10436178,123861,11.931,108138,10.416,1950108,760721,1189387,7.289,18.686,1335708,530625,805083,5.084,12.799,614400,5.887,25.598,75146,77515,309964
1984,48-49,96628,119944,2519589,2445694,19454,16.488,15550,13.179,475902,133081,342821,5.441,19.459,329417,117511,211906,4.805,13.469,146485,5.99,26.939,11177,11271,60387
1984,51,49987,76547,2555781,2514971,13830,18.676,8841,11.939,623299,350117,273182,13.921,24.784,538958,188207,350751,7.483,21.43,84341,3.354,42.86,5053,5140,37274
1984,52,169480,274145,4867095,4799701,31620,11.694,24116,8.919,812026,276728,535298,5.766,16.918,676224,265686,410538,5.535,14.089,135802,2.829,28.178,14987,15136,166115
1984,53,177849,192029,1279908,1212658,33848,18.078,24257,12.955,360201,174896,185305,14.423,29.703,222537,101124,121413,8.339,18.351,137664,11.352,36.702,18794,18904,71198
1984,54,335059,356496,3225182,3090415,59789,17.282,38716,11.191,714827,264091,450736,8.545,23.13,445289,174010,271279,5.631,14.409,269538,8.722,28.817,28474,28695,113590
1984,55,23423,43625,2853477,2799443,4364,10.131,3266,7.582,472541,136755,335786,4.885,16.88,364635,85519,279116,3.055,13.025,107906,3.855,26.051,714,732,9025
1984,56,151510,168988,2776534,2599000,32605,19.935,21744,13.294,767289,222582,544707,8.564,29.522,409325,147578,261747,5.678,15.749,357964,13.773,31.499,16562,16674,96916
1984,61,33850,36304,1522664,1499798,4617,12.955,3288,9.226,163423,27536,135887,1.836,10.896,117879,22613,95266,1.508,7.86,45544,3.037,15.719,2517,2542,15595
1984,62,404972,445679,7665884,7526221,43730,9.981,28665,6.542,940065,364626,575439,4.845,12.491,660587,215119,445468,2.858,8.777,279478,3.713,17.554,21296,21635,144509
1984,71,54266,57355,803379,782709,10192,18.078,8240,14.615,172653,65385,107268,8.354,22.058,131655,46440,85215,5.933,16.82,40998,5.238,33.641,6306,6358,33776
1984,72,302499,375811,6389795,6191304,61272,16.46,54145,14.545,1475671,759063,716608,12.26,23.835,1080120,516987,563133,8.35,17.446,395551,6.389,34.892,40361,41053,331498
1984,81,503635,543634,3748466,3599535,96324,18.519,49311,9.481,805878,332828,473050,9.246,22.388,507281,177388,329893,4.928,14.093,298597,8.295,28.186,36637,37152,125536
1985,11,18974,19522,177501,177730,2986,15.314,2940,15.078,44726,15591,29135,8.772,25.165,45053,14740,30313,8.294,25.349,-327,-0.184,50.33,2099,2103,9978
1985,21,25208,31456,763202,771235,4240,13.413,4548,14.388,137926,42209,95717,5.473,17.884,154593,56848,97745,7.371,20.045,-16667,-2.161,35.768,3261,3288,30015
1985,22,5779,12219,763895,759691,640,5.248,590,4.838,43922,8597,35325,1.132,5.782,35546,8305,27241,1.093,4.679,8376,1.103,9.358,312,312,1918
1985,23,443458,449650,4652653,4480020,83977,19.127,62780,14.299,1435549,441647,993902,9.858,32.043,1091437,358000,733437,7.991,24.362,344112,7.681,48.725,46416,46455,266961
1985,31-33,285408,332471,17271902,17306336,34683,10.49,30986,9.372,2087326,539213,1548113,3.116,12.061,2151318,806946,1344372,4.663,12.431,-63992,-0.37,24.122,22799,23054,336299
1985,42,273973,348975,4479138,4425667,40160,11.54,38233,10.986,791391,247236,544155,5.586,17.882,684839,298164,386675,6.737,15.474,106552,2.408,30.949,26697,27315,177754
1985,44-45,735005,1039072,11172002,10954887,122750,11.774,129731,12.443,1990882,770891,1219991,7.037,18.173,1557538,722342,835196,6.594,14.218,433344,3.956,28.435,88254,92102,424342
1985,48-49,98793,122392,2617366,2568352,19964,16.472,17580,14.505,473922,135440,338482,5.273,18.452,376021,148735,227286,5.791,14.641,97901,3.812,29.281,12880,12984,80509
1985,51,50658,78527,2615817,2593805,11449,14.773,9398,12.126,493342,199299,294043,7.684,19.02,454544,141139,313405,5.441,17.524,38798,1.496,35.048,6071,6197,55628
1985,52,168746,276003,5053942,4953093,31112,11.318,28881,10.506,859082,255274,603808,5.154,17.344,660492,254156,406336,5.131,13.335,198590,4.009,26.67,18203,18365,131723
1985,53,183168,198531,1374140,1326059,36058,18.47,29450,15.085,366135,159483,206652,12.027,27.611,270499,129633,140866,9.776,20.399,95636,7.212,40.797,22978,23073,91601
1985,54,351739,374022,3483453,3356225,63306,17.33,45862,12.555,785905,286100,499805,8.524,23.416,529501,228947,300554,6.822,15.777,256404,7.64,31.553,34708,34949,164322
1985,55,23773,43782,3002409,2928476,4123,9.434,3963,9.068,541767,139529,402238,4.765,18.5,396629,122830,273799,4.194,13.544,145138,4.956,27.088,977,989,11470
1985,56,160033,178482,3164907,2972630,35186,20.253,25684,14.784,917687,265490,652197,8.931,30.871,532604,195498,337106,6.577,17.917,385083,12.954,35.834,20013,20166,133171
1985,61,34135,36709,1548093,1536362,4416,12.103,3972,10.886,185572,27421,158151,1.785,12.079,161843,49229,112614,3.204,10.534,23729,1.544,21.068,3071,3102,30759
1985,62,413647,456031,7983366,7820422,45090,10,34821,7.723,1184646,454851,729795,5.816,15.148,855126,359480,495646,4.597,10.935,329520,4.214,21.869,26748,27167,240945
1985,71,56181,59290,856614,831313,10686,18.324,8743,14.992,206019,77469,128550,9.319,24.782,155580,57173,98407,6.877,18.715,50439,6.067,37.43,6718,6774,43073
1985,72,301263,376645,6679721,6540219,61859,16.436,61293,16.286,1594058,831847,762211,12.719,24.373,1309976,657045,652931,10.046,20.03,284082,4.344,40.059,45784,46839,411389
1985,81,512053,552442,3915001,3833298,70238,12.816,61467,11.215,760789,261100,499689,6.811,19.847,598050,244481,353569,6.378,15.601,162739,4.245,31.203,44885,45476,175013
1986,11,18544,19093,173830,175682,2834,14.692,3226,16.725,44029,15471,28558,8.806,25.062,47779,18300,29479,10.417,27.196,-3750,-2.135,50.124,2314,2315,11438
1986,21,24216,30103,686628,725062,3469,11.266,4847,15.741,110584,38002,72582,5.241,15.252,187686,54091,133595,7.46,25.886,-77102,-10.634,30.503,3380,3415,27026
1986,22,5930,12475,773465,769782,784,6.347,538,4.356,52330,17057,35273,2.216,6.798,44086,5961,38125,0.774,5.727,8244,1.071,11.454,273,273,1365
