state,avg_delta_rate,avg_lf,u_rec_end,v_rec_end,u_rec_trough,v_rec_trough,cug,cvs,n_rec
MI,0.01075707505349587,5020807.888888888,12.591322034030334,11.933755481715194,12.262538757872763,11.604972205557623,55.9585924732358,3.093275329390479,3
MN,0.010656567411566847,2956202.3333333335,13.286533424396112,12.985283859498265,13.286533424396112,12.658609820760653,26.750744713284107,6.484833099771517,3
MS,0.010128597429141316,1295738.7777777778,9.069212167164354,13.412222662506823,7.724074099640626,13.740461747733963,29.640170955525537,7.942132652922578,3
MO,0.01083857002090388,3044768.6666666665,14.196582604816028,12.522193402906947,13.191949083670579,12.18731556252513,40.397780518301005,5.371392799732769,3
MT,0.010791922694844941,508898.44444444444,6.054026933118723,14.277338460456855,5.355565375846654,14.277338460456855,24.211322087256292,11.837029724811956,3
NE,0.01055342924175186,997584.5555555556,9.715172236583454,11.861320026227796,8.404254342795339,11.529981808281134,15.139574653339515,4.251729489486243,3
NV,0.011948818019703928,1352460.5555555557,9.467175013113957,9.655319584181752,7.822339119358173,9.312199534264503,75.09918677233964,9.70184423391163,3
NH,0.01039317111768037,734464.0,10.137484992835288,13.512003311258276,8.524817796076837,12.844891875798767,27.714074289902925,5.347645541035842,3
NJ,0.011257291746164593,4505329.888888889,10.800956516465721,14.843404635137214,8.539384944286606,14.512138573451114,54.98790668775545,8.194943040303713,3
NM,0.010894667704377525,916814.6666666666,11.593850907950376,13.163433006937545,15.031086617287972,12.823590057944584,30.522245067018673,8.63775730631907,3
NY,0.011606017242101899,9511364.333333334,11.201208393061592,13.306668307277192,10.214340134565811,12.63919411538097,45.84313562872549,4.838440466519447,3
NC,0.010740602753978513,4571333.888888889,10.63014816608962,12.592363157799431,9.321077740377506,12.257869396496353,51.51328795047786,9.06490250091711,3
ND,0.010429126693320042,377605.0,3.0486666696091884,11.930652695571064,7.626673669869602,11.598839174975614,10.837093616835546,6.772836451589145,3
OH,0.01078780604494121,5900971.888888888,13.583208299002044,12.89691797850173,12.564592985031258,12.557379540511468,39.49243414052553,4.61985195753306,3
OK,0.010529571042053711,1747038.6666666667,9.394315638119819,12.209166521023384,7.790482726706806,12.55904633033626,26.325443832530663,6.737513235078978,3
OR,0.010515268602222148,1941719.3333333333,10.361145111142621,15.675845816828776,10.048865398443555,15.346289491203501,47.03049697059242,10.797212645483345,3
PA,0.010840605687816836,6385543.333333333,11.893559966793045,11.042274467551614,9.597078783342024,10.707102588851308,34.378107034541614,4.2616595097983705,3
RI,0.010568072624725717,561956.6666666666,7.436970031299369,13.736387147288935,8.999995847841173,13.058455080561767,56.16768660658559,5.897441239482086,3
SC,0.010705177857731103,2149745.0,14.234545337547786,12.200901398899767,13.565496476197048,12.200901398899767,53.14128142330059,6.046987720680628,3
SD,0.010358477016405689,436582.77777777775,10.977733635851164,12.117291489840925,9.339168466206614,11.786219744505624,16.494467554623515,5.530597723527524,3
TN,0.01060407827399336,3081056.2222222225,12.474349813516332,11.976852634879252,11.834564308502285,11.976852634879252,44.703292390062764,7.678538348136121,3
TX,0.01147439912242849,12033288.444444442,10.308416118191243,12.032672614956015,8.181531129626745,11.711379089539724,38.88113887716319,9.978705099169353,3
UT,0.010794130792465047,1382358.7777777778,7.611842447398083,12.203752780372424,5.516871685265178,11.809228011155492,39.13879986722642,11.900091582760776,3
VT,0.010168491295901054,346364.1111111112,3.714957958500319,14.12941070042861,6.308321333009546,13.791729769282613,25.084681398220305,6.612407726765965,3
VA,0.011477758145550097,4068231.222222222,12.913015651000501,12.119545182630693,11.938477412556116,11.10907483926744,36.39039675268649,6.242777058714294,3
WA,0.010756406287989679,3485417.2222222225,8.565994506316876,12.853433488195503,7.290479682728882,12.525857561130497,41.91946187004658,12.071284339959114,3
WV,0.010218423705349023,801549.4444444445,6.065381701690267,12.682273014279982,6.3847133572545935,12.682273014279982,24.514035464183145,5.6902230890013765,3
WI,0.010268217603935354,3065289.5555555555,12.219446950199305,12.859325379665059,11.220820936764142,12.523862817237568,33.304653858874154,6.392974667734724,3
WY,0.01015567124429301,287292.3333333333,7.146874786077364,12.840108662063535,6.7339411540161755,12.840108662063535,24.316174098314875,12.685980970084731,3
